"gene","log2FC_LP","padj_LP","padj_manual_LP","log2FC_ML","padj_ML","padj_manual_ML"
"17096",3.51711096561025,8.62889569440822e-76,8.62889569440822e-76,2.53822964980103,4.13732645784863e-40,4.13732645784863e-40
"56312",5.21039615700134,2.14669918911138e-75,2.14669918911138e-75,6.18781609606561,5.85974328761434e-106,5.85974328761434e-106
"114679",-4.26756441635801,5.48920370378335e-75,5.48920370378335e-75,-4.72050277556929,1.57790855542085e-90,1.57790855542085e-90
"140481",-2.56345057154918,1.29236936402563e-74,1.29236936402563e-74,-1.63556579017007,9.511763405913e-32,9.511763405913e-32
"13136",5.05333645446086,2.84853746184334e-74,2.84853746184334e-74,3.64838175195261,1.58960756953242e-39,1.58960756953242e-39
"109594",-7.2445931575082,3.38535036065726e-74,3.38535036065726e-74,-7.37849696198364,9.92502691183966e-80,9.92502691183966e-80
"12337",3.49373940152606,3.87640300611112e-74,3.87640300611112e-74,4.51064010944755,3.23415141961316e-123,3.23415141961316e-123
"51800",-4.65778331071682,5.24229145114602e-74,5.24229145114602e-74,-3.96395446375802,1.63008902186252e-62,1.63008902186252e-62
"212980",3.73755193047724,9.01367148453718e-73,9.01367148453718e-73,3.69380840554109,2.69813694415413e-71,2.69813694415413e-71
"74464",5.04973237534783,1.42493418229357e-72,1.42493418229357e-72,4.51164376460574,3.62319804713577e-58,3.62319804713577e-58
"12124",5.40220589615248,3.62041849651267e-72,3.62041849651267e-72,5.51850461567491,1.47765790640408e-75,1.47765790640408e-75
"14389",4.28029583868568,7.67517255270875e-72,7.67517255270875e-72,3.29969625035329,3.47025903305612e-43,3.47025903305612e-43
"208076",-4.07206832369049,1.27972588304728e-71,1.27972588304728e-71,-4.42022706689537,2.4598500439687e-84,2.4598500439687e-84
"12994",7.11125602429966,1.374719730546e-71,1.374719730546e-71,4.33194992619882,1.02416241504688e-27,1.02416241504688e-27
"223838",-7.78953123134185,1.7065287486096e-71,1.7065287486096e-71,-8.26047296448173,6.2582522196374e-78,6.2582522196374e-78
"27280",-3.40235809944031,1.74662058837101e-71,1.74662058837101e-71,-2.89196592050473,1.13241798063526e-53,1.13241798063526e-53
"269328",4.97459429976115,2.1605728191085e-71,2.1605728191085e-71,2.85559456968964,1.23140677249211e-24,1.23140677249211e-24
"20341",3.50761183612829,2.8579175526206e-71,2.8579175526206e-71,3.14937449910808,7.34505742373814e-58,7.34505742373814e-58
"76088",5.0579654061522,8.81068671598707e-71,8.81068671598707e-71,4.12778903183955,9.795654060535e-48,9.795654060535e-48
"14086",-4.29964751854664,1.23281625364327e-70,1.23281625364327e-70,-4.36046341295123,1.13795016306911e-73,1.13795016306911e-73
"218121",4.88943207678253,1.48922146904469e-70,1.48922146904469e-70,6.50041887573982,5.90369917519193e-124,5.90369917519193e-124
"16533",-6.41143398973974,1.89809557422372e-70,1.89809557422372e-70,-8.828950084806,5.656891407607e-63,5.656891407607e-63
"58175",5.57478785712535,2.13332854552087e-70,2.13332854552087e-70,5.06689098111084,1.92917916453338e-58,1.92917916453338e-58
"320878",-3.95255357336494,4.0637411991117e-70,4.0637411991117e-70,-2.85566623054665,5.53073816731227e-38,5.53073816731227e-38
"207819",7.21633330557427,5.07700615179092e-70,5.07700615179092e-70,4.83175332711911,9.22389717286042e-32,9.22389717286042e-32
"20354",2.83953413775893,5.59646552210227e-70,5.59646552210227e-70,2.94245037163032,2.67593249565021e-75,2.67593249565021e-75
"12798",-3.26219816268821,7.05562838181635e-70,7.05562838181635e-70,-2.60990177982557,9.59721744798769e-46,9.59721744798769e-46
"170756",4.64617840419349,1.28445676775834e-69,1.28445676775834e-69,3.65148158890591,1.20856933352522e-43,1.20856933352522e-43
"13497",-5.86679352036288,1.80514532483016e-69,1.80514532483016e-69,-6.53166713703077,7.86424870052533e-82,7.86424870052533e-82
"76491",3.2051033451084,3.2719730588852e-69,3.2719730588852e-69,2.96228954127154,1.60756517968125e-59,1.60756517968125e-59
"68239",-5.98464118871109,4.93381778894795e-69,4.93381778894795e-69,-5.29153221519622,1.05977624446205e-60,1.05977624446205e-60
"11513",-4.35951013103336,6.71242802941641e-69,6.71242802941641e-69,-5.71107428187245,1.08628890660276e-107,1.08628890660276e-107
"22409",-8.41940601331698,7.67477786432173e-69,7.67477786432173e-69,-7.54525252352776,1.75948069749367e-68,1.75948069749367e-68
"14348",4.47100567827505,1.14424312286178e-68,1.14424312286178e-68,2.01497405902458,6.00151699168702e-15,6.00151699168702e-15
"71774",3.91557019305528,1.62753427356576e-68,1.62753427356576e-68,2.57839054604917,1.87536963535691e-30,1.87536963535691e-30
"12231",7.22363332553768,2.29395380424512e-68,2.29395380424512e-68,4.37778892479295,2.90562807753759e-26,2.90562807753759e-26
"83925",3.03284724066668,2.86048350964458e-68,2.86048350964458e-68,2.65477269147262,1.16190096204807e-52,1.16190096204807e-52
"22004",-6.9571461731282,3.07085082929803e-68,3.07085082929803e-68,-7.08751289446494,4.02851679187785e-71,4.02851679187785e-71
"171388",2.75055571335646,4.45606692168478e-68,4.45606692168478e-68,2.78060132962826,3.1135222858671e-70,3.1135222858671e-70
"21973",-2.97507462107968,5.04275272058031e-68,5.04275272058031e-68,-2.77167912975744,7.12649877829412e-60,7.12649877829412e-60
"228432",4.9265278405999,5.31483410627462e-68,5.31483410627462e-68,2.75355291757724,6.3082769870841e-22,6.3082769870841e-22
"319742",2.94636982064496,3.02968922825561e-67,3.02968922825561e-67,2.86001546642005,7.71280420712741e-64,7.71280420712741e-64
"53868",3.40360309695228,3.51940936160109e-67,3.51940936160109e-67,3.67441607602994,2.44467137711883e-78,2.44467137711883e-78
"20356",-3.74095051069344,3.90379030049112e-67,3.90379030049112e-67,-5.22170309879544,2.29712149655522e-124,2.29712149655522e-124
"14160",-4.94490173158687,4.85804496912383e-67,4.85804496912383e-67,-4.80864329621766,1.17281603051078e-65,1.17281603051078e-65
"22003",-2.90463621008132,1.12698403467711e-66,1.12698403467711e-66,-2.7957474202358,5.0399907918887e-62,5.0399907918887e-62
"13823",-3.18876213949316,1.42665852323899e-66,1.42665852323899e-66,-1.88116458278171,7.66366702869972e-26,7.66366702869972e-26
"19267",-3.59310708569241,1.44916994404845e-66,1.44916994404845e-66,-4.26387229375158,7.24485597980267e-92,7.24485597980267e-92
"237759",-4.03754533591748,2.54252670987165e-66,2.54252670987165e-66,-5.18397000841004,2.82118171140083e-97,2.82118171140083e-97
"12289",-4.44989326355062,3.06860667663045e-66,3.06860667663045e-66,-5.23535569315652,6.65336217417709e-87,6.65336217417709e-87
"101437",3.00090041556631,3.6049066004724e-66,3.6049066004724e-66,3.24488505520264,1.50419542359368e-77,1.50419542359368e-77
