"gene","log2FoldChange","lfcSE","pvalue","padj","padj_manual"
"26920",0.111253210023471,0.269619715416125,0.671110170638581,0.740204918973493,0.740204918973493
"100504621",-0.200826453214224,0.567560781714825,0.671174674007292,0.740226672093711,0.740226672093711
"277463",0.0598847292331937,0.140643209973744,0.671756742590614,0.740819197746537,0.740819197746537
"226551",-0.0957097418585075,0.206684683391485,0.671809496221584,0.740827950136276,0.740827950136276
"227700",0.0843568833985412,0.201800806168986,0.671934287485226,0.740845790829808,0.740845790829808
"14712",-0.0595155248681685,0.142565994511917,0.671960129577212,0.740845790829808,0.740845790829808
"110094",-0.0697699932059004,0.168703368521852,0.671882058087005,0.740845790829808,0.740845790829808
"54217",0.134046311154831,0.331598684701719,0.672077514385142,0.740925791168894,0.740925791168894
"13191",0.0707752827947093,0.170057554205581,0.67220091281365,0.741012410057328,0.741012410057328
"217038",0.110513066853613,0.269714860956572,0.67226515726499,0.741033812322639,0.741033812322639
"50758",-0.0536448047523776,0.130111767700552,0.672975811951084,0.7417182405355,0.7417182405355
"78752",-0.073251112616233,0.174505872456519,0.672973603385753,0.7417182405355,0.7417182405355
"231570",0.130300607226697,0.326064418715897,0.673229793617071,0.741948695812399,0.741948695812399
"12575",0.0637610939883635,0.150650015354584,0.673352678104578,0.742034651271245,0.742034651271245
"69165",0.217238095215641,0.750127081715481,0.673653075150469,0.742316201069079,0.742316201069079
"381002",0.219445501549303,0.692852768569278,0.674262552966948,0.742938274932919,0.742938274932919
"73261",0.101559503424267,0.248181827811053,0.67461899933381,0.743281480969665,0.743281480969665
"69837",0.105808004047506,0.260372378344298,0.674913079122639,0.743555931611385,0.743555931611385
"20382",0.0756755597018107,0.175947163960063,0.674965238132853,0.7435638378098,0.7435638378098
"327954",0.16697934820652,0.43813631682288,0.676223028400806,0.74489981737074,0.74489981737074
"320415",-0.179361831324308,0.496565841473977,0.676641070729667,0.745310648308215,0.745310648308215
"57170",-0.0915615730269071,0.219759351503781,0.676822529429765,0.745460848312501,0.745460848312501
"67503",-0.203924107352932,0.616795051495839,0.676973045536274,0.745576950010967,0.745576950010967
"100043348",0.203919971441973,0.591794468530744,0.677056370129031,0.745619040521844,0.745619040521844
"71923",0.0812411368943007,0.204593498634216,0.677219351072071,0.745748842396998,0.745748842396998
"16625",0.213332522840253,0.64921457372779,0.677345233834725,0.74582797575359,0.74582797575359
"66364",-0.0955263651997883,0.237172484397348,0.677381451904939,0.74582797575359,0.74582797575359
"75751",0.0578689409830476,0.139826168207685,0.677434246467893,0.745836425610382,0.745836425610382
"217845",-0.207301269687169,0.662523211820363,0.678033982938221,0.746447002195724,0.746447002195724
"546166",-0.213793777815472,0.726592586081489,0.678412244390367,0.746813692046668,0.746813692046668
"14190",0.21495629620748,0.659705962964454,0.678506442774556,0.746867649934302,0.746867649934302
"77717",0.208289638891335,0.634792217372737,0.678572203639921,0.746890300051131,0.746890300051131
"98488",-0.0769615901417202,0.189876426731699,0.678624880293275,0.746898546590841,0.746898546590841
"53421",-0.0735879496265655,0.180656112513946,0.678676894306899,0.746906062775835,0.746906062775835
"74355",-0.0833716064553934,0.210849564733589,0.678853958995728,0.747051191145689,0.747051191145689
"58233",0.137332697393261,0.355779721899264,0.679075598200078,0.747245349370742,0.747245349370742
"19305",0.0890632251418247,0.218343000216066,0.67950180085611,0.747664565542933,0.747664565542933
"64652",-0.0532527534282654,0.130576135376592,0.679559721991714,0.747678527990085,0.747678527990085
"234365",0.174792177173494,0.476390077303078,0.680101517907554,0.748224831348544,0.748224831348544
"320742",-0.116898143043313,0.294008349946663,0.680312977149398,0.748407660873123,0.748407660873123
"100503495",-0.206781483285754,0.69386024091081,0.680381383175069,0.748433104670519,0.748433104670519
"73422",-0.134334101386583,0.349657172533307,0.680915996927316,0.74892151368744,0.74892151368744
"228413",-0.10549028968961,0.269045477608578,0.680915682789021,0.74892151368744,0.74892151368744
"70036",-0.139479216387912,0.36763197139123,0.681485241523915,0.749497740677998,0.749497740677998
"21374",0.0626271019725612,0.153806068430605,0.681630883479488,0.749608043637545,0.749608043637545
"12632",0.114092761431216,0.284246030165235,0.681805240712987,0.749700035188298,0.749700035188298
"67298",0.0694425520728997,0.170594728182924,0.68179188645338,0.749700035188298,0.749700035188298
"231633",-0.185647036111705,0.5344678190361,0.68196092092803,0.749821339825751,0.749821339825751
"100502763",0.210782645692454,0.667319822587346,0.682053805096527,0.749873588177293,0.749873588177293
"17763",0.0826129372288862,0.204269491270519,0.68215318918963,0.749932975346142,0.749932975346142
"53867",0.185859913456781,0.519768533538462,0.682767525877713,0.75055843604167,0.75055843604167
"13885",-0.0492023609730492,0.122229773178229,0.683501710681468,0.751260756973223,0.751260756973223
"67936",0.0726506844001606,0.180557910454962,0.683542757705825,0.751260756973223,0.751260756973223
"243983",0.096905729188035,0.242520424188016,0.683537982800655,0.751260756973223,0.751260756973223
"216551",0.0803295810359715,0.194579160063206,0.683612318558487,0.751287256550216,0.751287256550216
"75398",-0.0645455414302114,0.161346152362547,0.683782701729064,0.751424548569434,0.751424548569434
"60425",0.129074865215289,0.334903478266582,0.684067863382443,0.751643444495755,0.751643444495755
"665700",0.157908744546665,0.4207745387793,0.684072835994806,0.751643444495755,0.751643444495755
"218963",0.10039339561835,0.24849306655639,0.684278565112519,0.751819520193416,0.751819520193416
"66222",0.191107714418709,0.551683369282397,0.684454029510331,0.751924853706136,0.751924853706136
"230233",0.0638055716715262,0.157736005717946,0.684465412808,0.751924853706136,0.751924853706136
"19015",-0.0861964718438932,0.218502593699547,0.6848099210966,0.752203335485867,0.752203335485867
"347740",0.0636135510291355,0.154710893215745,0.684801875846959,0.752203335485867,0.752203335485867
"382823",-0.0837988856769502,0.212515009110458,0.685001343823789,0.75236360221975,0.75236360221975
"76645",0.187955876478158,0.542094121243394,0.685564739662479,0.752932373039717,0.752932373039717
"229707",0.099996115238404,0.253079027666865,0.685774171808385,0.753112347860258,0.753112347860258
"670832",0.146890687277031,0.389926902936153,0.685822769849057,0.753115683624853,0.753115683624853
"11992",0.0594185947624153,0.148294658539478,0.686046284044909,0.75331108511109,0.75331108511109
"21389",-0.163857454767319,0.459341141985984,0.686252789406147,0.753487785379183,0.753487785379183
"100503101",-0.176275167502769,0.50221460852117,0.686485554925968,0.753693293233677,0.753693293233677
"55985",0.204007117131384,0.646480935132063,0.686643394132067,0.753816517566784,0.753816517566784
"100504626",-0.201071762428574,0.662074211618668,0.686752599491457,0.753886337468043,0.753886337468043
"629959",0.140652267804126,0.372723974514498,0.687177969611338,0.754303196605048,0.754303196605048
"329679",-0.119490693465609,0.307809073124252,0.687262935559898,0.754346369508972,0.754346369508972
